R, G, B
6397, 6969, 7115
6402, 6967, 7119
6346, 6900, 7062
6334, 6893, 7052
6333, 6893, 7052
6338, 6903, 7059
6359, 6926, 7080
6422, 7001, 7146
6434, 7038, 7195
6527, 7160, 7341
6550, 7189, 7381
6450, 7079, 7264
6417, 7025, 7206
6352, 6955, 7137
6314, 6925, 7109
6326, 6948, 7134
6370, 7000, 7194
6406, 7044, 7226
6361, 7005, 7171
6345, 7000, 7166
6401, 7052, 7241
6402, 7050, 7248
6368, 7002, 7210
6248, 6863, 7081
6128, 6729, 6944
6123, 6711, 6930
6130, 6715, 6939
6141, 6722, 6949
6126, 6719, 6946
6143, 6741, 6977
6209, 6816, 7067
6287, 6904, 7158
6270, 6881, 7133
6225, 6835, 7082
6168, 6777, 7017
6186, 6802, 7038
6267, 6883, 7119
6331, 6954, 7192
6343, 6966, 7192
6366, 6991, 7199
6452, 7081, 7277
6477, 7115, 7299
6481, 7118, 7291
6482, 7127, 7291
6509, 7143, 7317
6468, 7107, 7274
6423, 7062, 7221
6442, 7085, 7238
6417, 7063, 7221
6354, 7009, 7177
6304, 6962, 7131
6267, 6932, 7113
6291, 6976, 7184
6308, 6994, 7205
6266, 6968, 7170
6249, 6957, 7156
6305, 7013, 7209
6338, 7036, 7235
6281, 6961, 7160
6319, 6986, 7190
6369, 7021, 7227
6410, 7067, 7279
6402, 7057, 7264
6385, 7047, 7242
6428, 7096, 7281
6461, 7135, 7321
6452, 7131, 7317
6456, 7135, 7317
6442, 7142, 7324
6457, 7159, 7351
6518, 7226, 7431
6551, 7265, 7477
6519, 7239, 7445
6427, 7148, 7347
6337, 7060, 7264
6348, 7077, 7278
6377, 7097, 7314
6367, 7090, 7311
6363, 7077, 7311
6388, 7110, 7360
6384, 7107, 7353
6285, 7004, 7250
6211, 6929, 7170
6173, 6895, 7125
6155, 6880, 7119
6149, 6880, 7131
6164, 6910, 7166
6202, 6966, 7223
6210, 6985, 7244
6200, 6986, 7245
6182, 6979, 7245
6164, 6964, 7230
6116, 6892, 7145
6070, 6834, 7086
6078, 6830, 7087
6085, 6835, 7095
6082, 6826, 7080
6109, 6847, 7089
6081, 6818, 7060
6047, 6786, 7031
6091, 6829, 7069
6166, 6903, 7138
6208, 6943, 7183
6207, 6957, 7220
6315, 7070, 7356
6330, 7087, 7383
6210, 6965, 7253
6113, 6866, 7152
6118, 6866, 7161
6100, 6847, 7141
6000, 6742, 7033
5915, 6652, 6945
5892, 6630, 6931
5827, 6574, 6869
5766, 6517, 6810
5791, 6546, 6837
5899, 6652, 6942
5979, 6737, 7021
5977, 6729, 7001
5966, 6730, 7000
6024, 6798, 7072
6060, 6842, 7094
6044, 6834, 7074
6120, 6912, 7142
6127, 6910, 7159
6114, 6899, 7151
6130, 6919, 7172
6088, 6861, 7120
6082, 6846, 7109
6142, 6893, 7159
6188, 6923, 7196
6139, 6850, 7113
6069, 6767, 7035
6105, 6805, 7068
6107, 6812, 7075
6084, 6798, 7070
6040, 6754, 7039
5976, 6698, 7000
5947, 6673, 6977
5900, 6626, 6936
5858, 6615, 6950
5873, 6638, 6974
5896, 6670, 7009
5908, 6692, 7040
5915, 6698, 7056
5963, 6750, 7118
5990, 6783, 7160
5970, 6764, 7144
5937, 6710, 7113
5921, 6700, 7107
5957, 6741, 7153
5961, 6749, 7164
5906, 6696, 7103
5888, 6689, 7094
5915, 6719, 7121
5927, 6732, 7125
5919, 6720, 7092
5972, 6772, 7142
6014, 6808, 7182
6033, 6818, 7201
6043, 6825, 7213
6074, 6847, 7242
6091, 6853, 7250
6082, 6836, 7210
6125, 6877, 7237
6108, 6860, 7209
6052, 6801, 7157
6027, 6779, 7147
5994, 6738, 7109
5869, 6603, 6989
5776, 6492, 6897
5781, 6470, 6874
5823, 6487, 6883
5856, 6528, 6920
5814, 6486, 6869
5820, 6504, 6875
5816, 6502, 6858
5786, 6482, 6832
5770, 6480, 6816
5780, 6506, 6827
5866, 6593, 6910
5982, 6729, 7041
6047, 6813, 7125
6089, 6870, 7173
6053, 6843, 7138
5967, 6755, 7051
5912, 6705, 6996
5878, 6670, 6960
5877, 6649, 6954
5856, 6623, 6925
5872, 6638, 6944
5906, 6663, 6975
5904, 6661, 6976
5962, 6720, 7033
5967, 6726, 7030
5981, 6738, 7034
6043, 6797, 7098
6089, 6848, 7151
6120, 6878, 7186
6096, 6842, 7169
6231, 6968, 7318
6320, 7043, 7400
6356, 7068, 7404
6305, 7014, 7330
6308, 7021, 7332
6336, 7045, 7355
6291, 6997, 7314
6204, 6905, 7221
6151, 6844, 7173
6066, 6754, 7090
5968, 6651, 6995
5943, 6624, 6973
5921, 6608, 6964
5878, 6571, 6926
5882, 6585, 6951
5928, 6653, 7018
5897, 6636, 7000
5823, 6564, 6933
5789, 6523, 6886
5762, 6497, 6856
5768, 6492, 6879
5764, 6493, 6879
5795, 6518, 6898
5789, 6514, 6883
5768, 6489, 6849
5797, 6518, 6865
5854, 6577, 6913
5874, 6601, 6934
5866, 6590, 6911
5856, 6575, 6889
5888, 6605, 6913
5936, 6645, 6954
5911, 6614, 6929
5886, 6578, 6907
5900, 6583, 6931
5897, 6580, 6933
5869, 6547, 6907
5862, 6540, 6900
5880, 6556, 6907
5933, 6604, 6946
5969, 6645, 6976
5944, 6621, 6937
5911, 6591, 6898
5967, 6654, 6956
6007, 6701, 6998
6008, 6706, 7000
5995, 6690, 6987
5936, 6642, 6933
5897, 6606, 6896
5911, 6618, 6913
5879, 6586, 6879
5820, 6521, 6817
5825, 6522, 6824
5850, 6538, 6841
5895, 6562, 6878
5907, 6565, 6887
5808, 6462, 6797
5774, 6429, 6767
5761, 6428, 6762
5745, 6410, 6745
5717, 6384, 6735
5741, 6400, 6758
5700, 6359, 6724
5587, 6244, 6616
5502, 6157, 6535
5478, 6122, 6504
5458, 6094, 6466
5460, 6099, 6468
5492, 6133, 6480
5517, 6165, 6503
5561, 6216, 6546
5567, 6230, 6547
5546, 6215, 6528
5549, 6229, 6534
5602, 6296, 6594
5608, 6311, 6604
5613, 6324, 6609
5626, 6344, 6635
5688, 6414, 6711
5725, 6460, 6761
5687, 6416, 6718
5702, 6433, 6740
5665, 6384, 6696
5631, 6338, 6652
5622, 6294, 6625
5601, 6263, 6598
5578, 6223, 6570
5548, 6172, 6528
5499, 6120, 6472
5465, 6090, 6432
5457, 6091, 6423
5442, 6082, 6410
5411, 6058, 6390
5372, 6023, 6353
5373, 6031, 6362
5370, 6033, 6370
5348, 6024, 6355
5337, 6022, 6343
5374, 6071, 6381
5341, 6045, 6346
5298, 5991, 6277
5329, 6021, 6305
5345, 6023, 6309
5340, 6007, 6287
5334, 5993, 6274
5324, 5977, 6262
5306, 5947, 6232
5330, 5977, 6261
5382, 6026, 6311
5433, 6071, 6361
5452, 6080, 6377
5470, 6102, 6407
5416, 6051, 6354
5383, 6023, 6324
5430, 6081, 6382
5453, 6108, 6404
5413, 6057, 6348
5365, 6007, 6299
5356, 5990, 6291
5289, 5920, 6222
5241, 5865, 6167
5250, 5873, 6162
5293, 5925, 6202
5273, 5902, 6176
5253, 5866, 6142
5268, 5881, 6158
5241, 5847, 6125
5222, 5831, 6106
5233, 5850, 6120
5303, 5931, 6197
5369, 6000, 6265
5397, 6038, 6301
5353, 6000, 6265
5295, 5941, 6201
5298, 5934, 6193
5341, 5972, 6225
5332, 5958, 6204
5337, 5966, 6204
5314, 5928, 6160
5288, 5901, 6129
5312, 5902, 6128
5323, 5914, 6137
5338, 5933, 6158
5355, 5955, 6179
5320, 5921, 6146
5237, 5832, 6055
5226, 5813, 6033
5197, 5786, 6006
5149, 5709, 5947
5118, 5681, 5917
5129, 5693, 5932
5146, 5717, 5953
5144, 5719, 5953
5160, 5740, 5968
5199, 5785, 6013
5257, 5853, 6079
5301, 5887, 6118
5294, 5878, 6111
5276, 5857, 6086
5251, 5828, 6049
5213, 5792, 5997
5227, 5801, 5996
5226, 5795, 5983
5254, 5822, 6007
5256, 5809, 5998
5221, 5775, 5966
5229, 5782, 5978
5247, 5795, 5990
5215, 5757, 5949
5206, 5744, 5937
5248, 5781, 5979
5281, 5810, 6008
5288, 5797, 5997
5237, 5743, 5940
5216, 5725, 5922
5180, 5695, 5889
5202, 5721, 5914
5280, 5804, 6000
5274, 5800, 5996
5238, 5762, 5955
5226, 5749, 5942
5257, 5787, 5980
5235, 5768, 5953
5231, 5764, 5950
5242, 5772, 5961
5269, 5790, 5972
5271, 5780, 5958
5253, 5758, 5934
5219, 5702, 5878
5250, 5726, 5907
5257, 5723, 5899
5270, 5729, 5898
5274, 5731, 5894
5292, 5747, 5900
5312, 5773, 5917
5321, 5786, 5923
5344, 5814, 5948
5368, 5843, 5977
5354, 5817, 5944
5334, 5793, 5911
5361, 5812, 5927
5443, 5886, 5999
5460, 5901, 6004
5436, 5875, 5972
5444, 5880, 5966
5469, 5903, 5990
5437, 5874, 5959
5420, 5854, 5931
5430, 5865, 5940
5469, 5907, 5973
5446, 5890, 5946
5408, 5856, 5904
5406, 5849, 5903
5413, 5857, 5910
5371, 5810, 5863
5351, 5784, 5837
5361, 5778, 5832
5360, 5754, 5806
5371, 5760, 5805
5423, 5819, 5858
5453, 5826, 5877
5424, 5793, 5845
5427, 5793, 5849
5407, 5767, 5830
5408, 5767, 5828
5406, 5764, 5832
5379, 5737, 5809
5384, 5743, 5810
5375, 5734, 5807
5340, 5697, 5771
5313, 5673, 5737
5313, 5674, 5731
5292, 5659, 5714
5281, 5657, 5713
5258, 5633, 5696
5285, 5668, 5731
5266, 5649, 5713
5226, 5607, 5676
5227, 5598, 5663
5212, 5582, 5645
5137, 5509, 5570
5095, 5473, 5526
5079, 5462, 5511
5081, 5474, 5521
5051, 5433, 5481
5025, 5401, 5451
5008, 5377, 5430
5007, 5369, 5424
5000, 5361, 5423
4987, 5343, 5411
4961, 5314, 5385
4935, 5288, 5361
4920, 5277, 5351
4903, 5257, 5337
4886, 5239, 5326
4889, 5237, 5324
4919, 5269, 5349
4919, 5256, 5341
4920, 5263, 5349
4944, 5293, 5379
4916, 5265, 5364
4902, 5247, 5349
4873, 5208, 5312
4867, 5198, 5298
4817, 5146, 5241
4781, 5119, 5214
4770, 5119, 5208
4759, 5114, 5194
4772, 5132, 5210
4753, 5113, 5188
4717, 5069, 5148
4663, 5012, 5091
4619, 4958, 5042
4574, 4906, 4997
4512, 4838, 4926
4477, 4795, 4884
4424, 4750, 4846
4383, 4708, 4805
4316, 4649, 4745
4274, 4607, 4701
4247, 4579, 4675
4224, 4559, 4656
4172, 4496, 4597
4119, 4441, 4541
4064, 4395, 4504
3973, 4297, 4412
3915, 4238, 4358
3862, 4182, 4313
3753, 4079, 4215
3594, 3929, 4086
3460, 3815, 3987
3384, 3745, 3915
3270, 3654, 3832
3150, 3540, 3724
3045, 3451, 3638
2980, 3392, 3598
2863, 3289, 3500
2793, 3218, 3439
2686, 3118, 3329
2603, 3038, 3248
2511, 2945, 3168
2442, 2874, 3089
2377, 2813, 3024
2288, 2743, 2946
2221, 2678, 2868
2172, 2630, 2809
2114, 2574, 2745
2058, 2514, 2683
2007, 2465, 2633
1962, 2413, 2571
1928, 2368, 2528
1872, 2297, 2453
1832, 2250, 2403
1789, 2203, 2350
1738, 2152, 2292
1694, 2103, 2236
1679, 2081, 2223
1694, 2095, 2239
1699, 2092, 2240
1692, 2084, 2236
1699, 2092, 2244
1700, 2086, 2247
1667, 2045, 2203
1656, 2039, 2197
1685, 2062, 2213
1677, 2046, 2191
1677, 2037, 2178
1658, 2011, 2142
1644, 1992, 2121
1624, 1957, 2079
1627, 1946, 2063
1594, 1906, 2014
1543, 1835, 1935
1482, 1754, 1852
1406, 1659, 1758
1342, 1576, 1674
1249, 1465, 1548
1198, 1389, 1459
1128, 1291, 1350
1085, 1240, 1284
961, 1085, 1100
665, 752, 732
648, 736, 683
640, 730, 687
629, 717, 683
625, 710, 681
635, 715, 692
625, 702, 683
609, 672, 658
572, 628, 615
552, 600, 593
518, 560, 556
509, 550, 545
501, 535, 530
496, 529, 522
505, 540, 532
540, 577, 562
567, 604, 585
568, 609, 589
571, 611, 594
567, 605, 590
564, 601, 592
538, 575, 570
506, 542, 538
511, 550, 543
522, 561, 551
524, 563, 553
501, 541, 531
499, 534, 522
508, 539, 523
506, 536, 520
502, 532, 516
509, 544, 528
495, 532, 513
475, 508, 488
481, 515, 491
481, 514, 491
487, 519, 499
497, 531, 509
502, 542, 518
499, 548, 526
502, 558, 536
520, 580, 558
530, 590, 568
524, 579, 559
533, 588, 567
542, 595, 575
533, 582, 562
516, 558, 541
495, 536, 521
514, 558, 545
531, 575, 562
540, 582, 569
537, 582, 568
543, 590, 575
538, 590, 575
545, 602, 590
546, 605, 594
549, 606, 595
545, 605, 590
548, 606, 590
570, 631, 613
555, 615, 595
523, 582, 561
525, 582, 565
525, 580, 563
510, 557, 541
485, 526, 513
479, 518, 505
468, 505, 493
464, 502, 489
463, 503, 488
471, 508, 496
471, 508, 494
480, 515, 501
480, 513, 498
478, 511, 499
473, 506, 499
491, 525, 520
505, 541, 537
506, 542, 535
506, 548, 544
526, 573, 567
518, 567, 559
512, 562, 553
516, 563, 552
506, 553, 540
497, 539, 522
486, 523, 510
443, 480, 467
457, 491, 477
463, 492, 480
459, 487, 480
447, 476, 471
442, 473, 466
441, 469, 459
441, 465, 457
443, 468, 460
459, 480, 476
470, 495, 492
459, 488, 487
467, 501, 499
478, 515, 513
483, 520, 514
491, 532, 524
479, 519, 510
489, 528, 513
505, 544, 522
512, 551, 529
506, 543, 521
482, 519, 500
475, 511, 495
472, 505, 492
449, 483, 471
431, 466, 453
446, 479, 464
456, 488, 475
449, 481, 470
459, 491, 482
439, 470, 464
452, 485, 479
475, 507, 503
488, 522, 515
466, 501, 492
474, 507, 501
467, 499, 494
455, 489, 483
441, 474, 466
428, 457, 448
383, 409, 402
382, 406, 399
377, 399, 395
381, 403, 403
374, 399, 397
388, 415, 411
423, 454, 446
435, 476, 467
447, 489, 479
473, 516, 507
465, 509, 497
478, 523, 511
485, 534, 521
482, 526, 512
473, 514, 499
477, 517, 507
483, 523, 513
496, 537, 528
500, 540, 532
499, 537, 528
504, 542, 533
512, 551, 538
487, 524, 511
463, 496, 486
436, 471, 463
451, 487, 476
457, 493, 482
467, 499, 486
461, 492, 476
469, 496, 479
458, 485, 468
477, 500, 482
467, 488, 474
483, 507, 497
494, 521, 512
511, 540, 529
492, 522, 512
488, 522, 510
465, 500, 487
436, 468, 456
433, 465, 450
436, 465, 450
412, 439, 425
415, 438, 425
395, 419, 405
391, 417, 404
396, 418, 405
401, 424, 411
416, 444, 427
426, 458, 439
436, 468, 450
454, 487, 470
465, 503, 486
470, 512, 497
451, 496, 483
448, 493, 484
430, 474, 465
427, 466, 460
429, 468, 462
456, 498, 492
471, 510, 505
457, 494, 488
437, 473, 465
444, 472, 466
447, 469, 463
409, 428, 422
393, 414, 408
391, 412, 405
386, 405, 397
381, 401, 392
386, 406, 398
387, 407, 402
379, 398, 395
369, 389, 389
366, 390, 392
357, 381, 383
355, 376, 378
364, 387, 391
369, 394, 395
368, 394, 393
378, 405, 401
398, 427, 418
412, 439, 430
439, 462, 450
440, 463, 450
425, 446, 430
426, 444, 424
420, 439, 419
419, 438, 417
423, 443, 423
404, 429, 411
414, 442, 426
401, 430, 421
415, 446, 442
419, 454, 451
409, 443, 441
401, 437, 436
397, 439, 436
387, 431, 426
366, 408, 402
344, 380, 372
339, 366, 362
335, 361, 355
358, 380, 374
343, 364, 356
355, 374, 363
371, 387, 374
387, 401, 389
395, 408, 397
391, 404, 393
369, 385, 374
358, 385, 372
353, 384, 371
357, 390, 381
369, 405, 399
420, 458, 452
442, 481, 473
447, 482, 476
438, 473, 467
425, 459, 457
401, 435, 433
377, 408, 403
365, 392, 385
374, 394, 386
374, 385, 376
386, 392, 381
392, 390, 377
407, 396, 385
403, 394, 381
391, 385, 373
380, 380, 367
393, 397, 384
391, 400, 387
386, 397, 386
394, 407, 396
404, 416, 409
411, 427, 417
419, 432, 422
436, 449, 440
435, 450, 439
432, 448, 437
431, 450, 435
433, 453, 435
446, 468, 445
430, 450, 426
425, 445, 419
421, 442, 415
416, 437, 410
402, 421, 394
407, 426, 402
381, 400, 380
358, 381, 367
348, 373, 360
357, 380, 368
372, 399, 389
374, 402, 395
381, 405, 398
402, 424, 416
401, 426, 418
401, 418, 416
408, 424, 417
419, 434, 426
408, 418, 412
401, 407, 400
407, 416, 406
415, 424, 412
388, 395, 380
373, 371, 359
363, 361, 350
359, 366, 356
364, 378, 368
361, 382, 373
376, 401, 392
379, 406, 401
378, 405, 400
396, 422, 419
404, 430, 427
415, 442, 438
403, 431, 425
396, 423, 416
385, 407, 401
386, 404, 394
398, 416, 398
409, 414, 402
415, 417, 404
401, 399, 387
415, 410, 400
391, 388, 376
369, 369, 359
358, 360, 351
349, 353, 343
356, 374, 358
356, 378, 364
367, 392, 379
369, 394, 381
388, 416, 407
420, 449, 443
429, 457, 454
423, 447, 444
413, 438, 435
384, 407, 404
371, 393, 386
359, 379, 371
344, 361, 348
335, 352, 336
340, 359, 344
338, 355, 340
350, 368, 353
335, 352, 340
345, 368, 355
356, 382, 372
350, 383, 372
360, 400, 390
373, 414, 403
379, 420, 408
401, 437, 430
401, 438, 429
416, 448, 438
417, 443, 434
396, 419, 411
399, 424, 415
408, 431, 420
392, 414, 401
378, 397, 389
358, 378, 372
345, 364, 358
331, 347, 342
329, 341, 338
336, 347, 345
340, 351, 349
337, 351, 346
329, 342, 338
320, 336, 334
335, 352, 352
343, 364, 366
355, 375, 379
371, 392, 395
390, 411, 412
405, 428, 426
426, 446, 444
435, 453, 447
450, 466, 458
447, 463, 451
417, 432, 421
390, 404, 396
377, 388, 379
376, 386, 375
369, 375, 360
373, 377, 359
359, 363, 344
359, 365, 352
363, 374, 361
351, 367, 355
350, 371, 363
363, 389, 382
370, 398, 393
362, 394, 389
379, 410, 405
390, 421, 419
399, 427, 430
378, 404, 406
384, 404, 408
383, 401, 404
365, 379, 386
339, 353, 358
327, 340, 342
300, 313, 315
290, 302, 302
280, 291, 290
286, 300, 296
295, 309, 305
304, 318, 312
311, 327, 320
346, 361, 353
352, 365, 361
380, 392, 389
378, 390, 387
388, 400, 398
394, 404, 403
384, 395, 392
367, 377, 372
371, 379, 371
377, 382, 371
365, 374, 359
349, 359, 343
353, 368, 350
338, 355, 336
323, 335, 320
305, 319, 305
308, 323, 308
314, 329, 314
323, 339, 321
306, 322, 305
305, 320, 303
310, 326, 309
318, 334, 320
329, 343, 331
335, 348, 337
335, 345, 337
341, 348, 341
338, 345, 339
344, 350, 343
342, 348, 338
343, 348, 337
335, 338, 325
351, 350, 337
346, 344, 332
345, 345, 332
344, 348, 335
333, 340, 327
316, 326, 313
317, 322, 311
308, 313, 302
325, 332, 322
333, 341, 333
343, 355, 345
366, 379, 371
374, 388, 382
366, 382, 376
370, 383, 377
370, 384, 377
383, 397, 390
390, 402, 397
387, 398, 396
364, 372, 372
349, 355, 353
335, 339, 333
312, 309, 308
293, 290, 288
285, 280, 278
280, 277, 276
285, 282, 281
290, 290, 288
294, 299, 295
305, 312, 308
321, 326, 320
333, 340, 333
341, 347, 340
347, 353, 345
355, 362, 356
349, 350, 354
335, 333, 340
