R, G, B
636, 700, 691
628, 690, 676
602, 670, 654
594, 665, 647
600, 676, 655
593, 672, 649
580, 656, 633
579, 645, 627
582, 642, 624
577, 633, 615
534, 589, 570
523, 576, 556
511, 562, 540
487, 533, 514
470, 518, 501
493, 543, 529
523, 573, 559
546, 600, 581
554, 610, 595
560, 615, 602
571, 625, 615
600, 656, 646
603, 658, 649
600, 652, 647
583, 630, 624
571, 619, 610
558, 606, 598
532, 580, 570
532, 582, 570
542, 592, 577
541, 592, 577
535, 586, 573
557, 610, 600
593, 643, 633
622, 666, 658
641, 683, 672
641, 682, 668
646, 690, 673
642, 687, 667
641, 687, 665
640, 684, 665
632, 683, 663
617, 668, 651
597, 647, 634
606, 658, 649
596, 649, 642
591, 643, 635
606, 662, 651
599, 653, 640
595, 646, 637
601, 646, 637
618, 663, 652
636, 675, 662
643, 683, 670
645, 689, 680
669, 711, 703
677, 717, 710
671, 710, 705
687, 729, 726
682, 726, 723
668, 716, 709
673, 724, 716
665, 717, 704
629, 681, 669
615, 667, 657
620, 670, 659
617, 661, 648
614, 656, 642
598, 638, 623
581, 616, 602
593, 621, 609
593, 620, 610
596, 623, 613
592, 621, 615
586, 618, 612
576, 610, 600
574, 614, 602
562, 609, 592
553, 604, 585
556, 606, 585
572, 622, 603
575, 627, 607
594, 645, 626
601, 655, 638
590, 643, 627
592, 646, 629
593, 646, 629
612, 665, 650
627, 685, 667
624, 686, 671
598, 655, 643
588, 643, 630
595, 651, 636
614, 678, 660
609, 679, 659
613, 683, 665
629, 703, 684
633, 715, 689
613, 691, 666
609, 689, 666
606, 680, 662
614, 682, 669
622, 687, 677
625, 690, 681
620, 682, 672
619, 676, 667
625, 679, 673
625, 677, 673
651, 700, 695
664, 719, 712
667, 725, 720
687, 749, 741
710, 775, 766
717, 789, 771
725, 794, 778
748, 820, 802
730, 796, 779
704, 770, 752
668, 734, 713
656, 725, 705
664, 730, 709
642, 718, 693
631, 706, 683
619, 697, 675
615, 689, 668
621, 693, 674
661, 734, 717
677, 752, 736
672, 746, 731
684, 753, 731
694, 758, 739
702, 763, 740
668, 719, 699
646, 694, 677
651, 692, 676
652, 691, 675
656, 696, 683
630, 677, 664
628, 678, 666
651, 702, 689
679, 733, 715
677, 734, 716
677, 735, 717
668, 730, 707
700, 763, 738
733, 797, 768
715, 775, 748
705, 768, 739
705, 769, 738
675, 739, 705
647, 709, 676
654, 719, 683
651, 714, 679
656, 721, 684
661, 726, 695
660, 725, 699
664, 722, 699
678, 735, 715
685, 745, 730
686, 747, 731
680, 741, 722
673, 737, 723
666, 727, 716
691, 761, 753
699, 775, 768
683, 760, 753
663, 740, 730
636, 712, 701
630, 704, 694
635, 712, 698
633, 706, 697
615, 682, 675
606, 668, 660
609, 670, 659
622, 683, 668
637, 699, 678
620, 676, 652
629, 684, 660
662, 720, 697
679, 746, 722
668, 738, 715
663, 737, 717
669, 744, 726
658, 732, 715
679, 749, 732
673, 740, 726
656, 721, 708
649, 711, 701
635, 701, 691
621, 689, 683
600, 668, 663
604, 673, 669
609, 679, 676
634, 707, 704
632, 702, 702
631, 695, 696
628, 681, 684
635, 685, 685
650, 697, 695
663, 713, 707
667, 720, 713
652, 714, 704
662, 729, 719
691, 761, 750
707, 781, 770
695, 772, 760
685, 762, 750
678, 760, 747
659, 735, 723
639, 704, 688
660, 725, 711
806, 878, 869
1021, 1108, 1109
1147, 1245, 1255
1231, 1345, 1362
1289, 1420, 1448
1333, 1475, 1506
1386, 1537, 1581
1439, 1594, 1642
1506, 1661, 1712
1581, 1739, 1788
1687, 1856, 1902
1780, 1962, 2005
1866, 2046, 2091
1966, 2146, 2192
2086, 2269, 2322
2151, 2341, 2400
2220, 2418, 2489
2270, 2482, 2558
2315, 2542, 2619
2401, 2628, 2707
2478, 2707, 2791
2536, 2767, 2856
2605, 2852, 2943
2691, 2938, 3031
2786, 3033, 3114
2852, 3091, 3158
2959, 3196, 3246
3092, 3307, 3351
3228, 3438, 3466
3349, 3556, 3581
3402, 3592, 3608
3492, 3676, 3690
3578, 3753, 3768
3666, 3844, 3868
3744, 3925, 3944
3794, 3986, 4001
3804, 4011, 4021
3844, 4052, 4057
3931, 4154, 4140
3998, 4214, 4198
4029, 4237, 4217
4067, 4269, 4253
4099, 4308, 4287
4092, 4311, 4299
4093, 4331, 4313
4151, 4399, 4381
4160, 4420, 4410
4183, 4450, 4445
4248, 4518, 4527
4253, 4532, 4550
4284, 4574, 4599
4310, 4609, 4646
4315, 4627, 4669
4346, 4652, 4699
4337, 4660, 4717
4349, 4675, 4734
4346, 4682, 4751
4319, 4671, 4753
4298, 4670, 4772
4314, 4703, 4819
4287, 4676, 4805
4262, 4658, 4792
4240, 4659, 4805
4233, 4660, 4814
4258, 4690, 4855
4326, 4770, 4930
4355, 4804, 4971
4357, 4816, 4978
4364, 4837, 5001
4365, 4841, 5002
4322, 4796, 4972
4278, 4760, 4934
4272, 4768, 4956
4281, 4795, 5004
4290, 4814, 5039
4333, 4862, 5105
4337, 4864, 5114
4316, 4841, 5094
4317, 4850, 5109
4331, 4864, 5124
4298, 4842, 5100
4267, 4817, 5087
4240, 4807, 5084
4252, 4841, 5121
4267, 4858, 5150
4275, 4870, 5161
4316, 4923, 5224
4379, 4997, 5294
4431, 5064, 5363
4432, 5087, 5382
4372, 5048, 5354
4331, 5025, 5334
4322, 5025, 5343
4265, 4974, 5284
4242, 4939, 5285
4268, 4950, 5301
4303, 4975, 5338
4335, 5014, 5385
4299, 4991, 5355
4245, 4965, 5328
4198, 4935, 5313
4157, 4903, 5281
4117, 4873, 5262
4077, 4834, 5225
4015, 4775, 5163
4005, 4773, 5169
3988, 4748, 5157
3980, 4727, 5142
3987, 4723, 5136
3987, 4711, 5124
3972, 4708, 5120
3955, 4694, 5105
3954, 4694, 5104
3957, 4693, 5099
3967, 4706, 5104
3976, 4727, 5118
3962, 4715, 5112
3970, 4724, 5117
3923, 4694, 5078
3880, 4649, 5030
3855, 4634, 5024
3843, 4631, 5020
3862, 4662, 5054
3867, 4669, 5069
3869, 4675, 5089
3926, 4741, 5163
3913, 4721, 5171
3916, 4719, 5173
3911, 4713, 5172
3876, 4679, 5141
3876, 4689, 5147
3886, 4707, 5163
3913, 4739, 5194
3929, 4758, 5217
3918, 4759, 5228
3921, 4774, 5243
3927, 4782, 5256
3929, 4785, 5262
3942, 4794, 5279
3936, 4780, 5265
3940, 4777, 5264
3974, 4814, 5304
4015, 4850, 5349
4057, 4897, 5402
4082, 4925, 5436
4076, 4913, 5433
4068, 4907, 5430
4059, 4909, 5433
4029, 4875, 5410
3979, 4820, 5352
3928, 4787, 5336
3964, 4829, 5376
4009, 4884, 5418
3994, 4875, 5401
3969, 4854, 5371
4029, 4927, 5441
4070, 4972, 5488
4100, 5003, 5520
4071, 4979, 5498
4048, 4947, 5466
4059, 4950, 5474
4106, 4999, 5527
4100, 4989, 5525
4054, 4946, 5483
4004, 4897, 5445
3985, 4880, 5431
3930, 4818, 5366
3924, 4805, 5353
3938, 4822, 5371
