R, G, B
3456, 3641, 3451
3495, 3682, 3498
3636, 3812, 3623
3612, 3829, 3663
3759, 3907, 3693
3659, 3849, 3669
3560, 3802, 3658
3603, 3675, 3447
2803, 3191, 3402
2517, 3001, 3735
2460, 2934, 3588
2427, 2879, 3477
2480, 2920, 3600
2491, 2918, 3544
2517, 2928, 3547
2480, 2900, 3532
2334, 2760, 3406
2171, 2598, 3270
2116, 2543, 3222
2141, 2573, 3246
2064, 2494, 3174
2054, 2474, 3148
2041, 2466, 3127
2036, 2454, 3088
2019, 2430, 3057
1985, 2353, 2954
1933, 2300, 2869
1953, 2305, 2837
1961, 2289, 2791
2013, 2312, 2783
1923, 2192, 2631
1965, 2213, 2620
2074, 2306, 2646
2099, 2294, 2558
2117, 2294, 2521
2099, 2269, 2474
1999, 2162, 2346
2039, 2200, 2346
2082, 2230, 2359
2045, 2153, 2257
2060, 2141, 2238
2127, 2210, 2322
2032, 2150, 2253
2028, 2119, 2141
2066, 2146, 2107
2043, 2092, 2025
2110, 2085, 1999
2154, 2069, 1971
2225, 2114, 2001
2234, 2079, 1987
2411, 2217, 2114
2345, 2142, 2028
2405, 2188, 2074
2398, 2159, 2025
2460, 2203, 2069
2478, 2199, 2060
2468, 2199, 2057
2454, 2199, 2054
2547, 2300, 2140
2510, 2270, 2120
2554, 2310, 2166
2612, 2322, 2176
2649, 2341, 2179
2544, 2237, 2108
2587, 2286, 2170
2469, 2163, 2067
2523, 2205, 2120
2570, 2239, 2162
2702, 2391, 2322
2699, 2407, 2329
2670, 2385, 2299
2630, 2324, 2214
2680, 2424, 2359
2759, 2527, 2492
2586, 2358, 2300
2387, 2136, 2123
2405, 2166, 2187
2413, 2214, 2277
2337, 2189, 2270
2409, 2291, 2417
2354, 2236, 2290
2363, 2242, 2278
2383, 2285, 2328
2412, 2359, 2427
2291, 2204, 2247
2377, 2291, 2325
2376, 2336, 2407
2387, 2394, 2487
2326, 2341, 2423
2373, 2408, 2470
2366, 2429, 2487
2256, 2334, 2411
2073, 2154, 2265
2079, 2204, 2367
2147, 2320, 2494
2027, 2242, 2447
2064, 2334, 2602
1993, 2277, 2435
1902, 2183, 2318
1907, 2199, 2370
1972, 2282, 2483
1854, 2176, 2422
1898, 2229, 2490
1920, 2257, 2540
2001, 2339, 2638
2173, 2494, 2861
2172, 2492, 2835
2099, 2466, 2889
2190, 2588, 3072
2174, 2573, 3067
2183, 2575, 3077
2221, 2641, 3149
2307, 2770, 3285
2349, 2827, 3369
2424, 2906, 3444
2436, 2920, 3489
2400, 2913, 3524
2391, 2919, 3559
2410, 2934, 3560
2314, 2832, 3450
2342, 2856, 3480
2337, 2843, 3449
2360, 2879, 3474
2398, 2916, 3536
2401, 2921, 3521
2409, 2926, 3549
2460, 3008, 3654
2455, 3053, 3695
2372, 3090, 3659
2726, 3411, 3622
3372, 3581, 3519
3328, 3566, 3459
3314, 3609, 3528
3397, 3604, 3491
3368, 3604, 3490
3397, 3606, 3511
3233, 3429, 3364
3080, 3302, 3217
3096, 3335, 3258
3032, 3264, 3206
2821, 3027, 2985
2887, 3095, 3047
2981, 3195, 3149
2932, 3158, 3111
2922, 3138, 3072
2963, 3200, 3159
2937, 3149, 3112
2809, 3026, 3004
2905, 3182, 3185
2932, 3186, 3159
2818, 3029, 2928
2826, 3056, 2924
2946, 3177, 3059
3013, 3248, 3171
3009, 3226, 3191
2879, 3036, 3044
2844, 2995, 2968
2879, 3044, 3026
2987, 3130, 3140
3001, 3129, 3106
2962, 3067, 3001
2945, 3044, 2973
3108, 3206, 3126
3080, 3166, 3090
3006, 3079, 3008
3065, 3143, 3085
3003, 3112, 3099
2906, 3003, 2990
2980, 3023, 2985
3036, 3043, 3007
2836, 2856, 2826
2869, 2866, 2844
2917, 2918, 2881
2749, 2753, 2734
2784, 2793, 2763
2879, 2874, 2806
2779, 2762, 2665
2895, 2881, 2785
2930, 2888, 2795
2872, 2839, 2760
2921, 2906, 2870
2996, 2950, 2886
2843, 2833, 2739
2859, 2871, 2790
2914, 2913, 2847
3043, 3052, 2978
2989, 3012, 2944
2947, 3000, 2928
2934, 2973, 2864
2937, 2946, 2832
2917, 2949, 2835
2984, 3016, 2922
2997, 3026, 2931
2894, 2993, 2892
2951, 3037, 2923
3064, 3126, 3023
2964, 3052, 2946
3000, 3119, 2995
3103, 3214, 3081
3244, 3311, 3230
3159, 3245, 3143
2989, 3131, 2966
2995, 3144, 2967
3099, 3185, 3001
3215, 3314, 3126
3237, 3330, 3151
3208, 3318, 3139
3181, 3308, 3155
3215, 3342, 3179
3230, 3349, 3137
3272, 3376, 3180
3201, 3324, 3148
3110, 3226, 3023
3242, 3335, 3167
3316, 3434, 3226
3187, 3332, 3070
3214, 3338, 3072
3353, 3407, 3154
3518, 3574, 3329
3437, 3533, 3310
3352, 3463, 3209
3347, 3436, 3229
3268, 3369, 3160
3226, 3335, 3103
3268, 3376, 3186
3268, 3353, 3169
3177, 3320, 3094
3230, 3397, 3173
3265, 3409, 3151
3261, 3409, 3148
3230, 3409, 3142
3230, 3384, 3110
3265, 3395, 3122
3266, 3436, 3145
3288, 3479, 3192
3395, 3580, 3297
3371, 3568, 3285
3375, 3575, 3284
3573, 3830, 3580
3638, 3926, 3594
3587, 3856, 3525
3591, 3872, 3549
3527, 3788, 3470
3528, 3782, 3472
3595, 3849, 3552
3570, 3820, 3525
3551, 3791, 3508
3593, 3830, 3559
3547, 3771, 3519
3567, 3788, 3544
3509, 3715, 3488
3405, 3592, 3389
3306, 3484, 3300
3220, 3384, 3215
3172, 3331, 3170
3475, 3615, 3486
2917, 3013, 2932
2118, 2191, 2138
621, 661, 649
565, 582, 558
608, 633, 606
664, 692, 665
668, 700, 670
703, 737, 705
677, 712, 681
651, 685, 658
647, 682, 659
606, 639, 621
592, 622, 605
593, 616, 596
574, 594, 574
591, 613, 593
614, 634, 610
626, 646, 621
633, 655, 630
579, 604, 581
582, 608, 586
555, 580, 562
542, 565, 546
570, 591, 568
522, 546, 523
564, 592, 571
585, 619, 599
519, 550, 531
552, 583, 564
534, 562, 545
523, 548, 531
538, 559, 541
552, 568, 548
532, 552, 529
550, 566, 546
512, 526, 508
487, 504, 486
521, 541, 520
557, 583, 563
558, 587, 567
521, 548, 534
475, 503, 492
490, 518, 504
522, 551, 534
541, 568, 547
583, 606, 583
606, 629, 605
580, 604, 575
565, 584, 555
555, 564, 541
544, 558, 540
548, 565, 552
535, 555, 538
536, 559, 539
506, 526, 507
486, 507, 485
490, 513, 495
491, 520, 498
492, 522, 497
472, 498, 474
488, 514, 486
445, 466, 441
472, 490, 467
501, 519, 496
509, 529, 508
522, 544, 525
486, 504, 485
478, 492, 473
499, 517, 498
497, 518, 502
523, 543, 529
536, 551, 541
543, 556, 550
581, 593, 579
579, 588, 572
559, 567, 550
539, 551, 537
529, 546, 537
530, 550, 541
505, 527, 514
486, 507, 495
488, 504, 492
478, 493, 478
463, 477, 462
445, 462, 444
461, 485, 465
520, 549, 530
517, 548, 526
502, 532, 507
498, 521, 502
441, 458, 442
486, 500, 486
518, 525, 506
481, 488, 467
465, 472, 453
449, 454, 440
453, 459, 446
462, 473, 456
483, 497, 477
512, 526, 508
540, 554, 537
501, 515, 500
468, 483, 471
472, 487, 474
483, 502, 489
492, 510, 496
491, 508, 492
470, 482, 465
467, 479, 462
486, 499, 485
481, 498, 484
484, 499, 488
489, 501, 487
509, 520, 499
523, 536, 510
504, 515, 491
480, 491, 467
456, 469, 447
422, 436, 413
440, 448, 424
471, 481, 455
512, 531, 506
533, 553, 533
555, 568, 546
539, 550, 528
519, 533, 515
486, 503, 487
480, 496, 485
479, 499, 486
461, 481, 470
469, 486, 474
465, 474, 463
463, 469, 455
467, 470, 452
488, 491, 469
519, 529, 502
524, 538, 509
513, 528, 502
501, 517, 490
529, 546, 519
548, 563, 533
528, 543, 519
538, 549, 532
530, 533, 516
490, 489, 472
424, 422, 408
403, 404, 393
422, 427, 416
419, 425, 414
432, 440, 430
477, 484, 476
477, 478, 467
495, 493, 477
463, 463, 448
418, 419, 409
407, 411, 403
428, 433, 427
423, 429, 426
473, 483, 479
493, 503, 498
489, 499, 491
447, 455, 448
454, 458, 450
458, 461, 452
442, 442, 429
430, 430, 418
437, 441, 426
433, 435, 419
428, 426, 409
473, 476, 456
472, 481, 462
483, 493, 475
488, 494, 474
475, 481, 463
474, 480, 461
465, 476, 462
452, 462, 449
490, 501, 487
537, 551, 534
531, 545, 524
482, 487, 472
429, 431, 419
421, 424, 415
424, 425, 415
440, 435, 423
436, 435, 421
459, 465, 448
481, 486, 467
456, 460, 436
433, 436, 415
420, 416, 402
410, 405, 396
422, 418, 410
455, 452, 443
489, 482, 468
464, 458, 438
461, 457, 437
465, 458, 441
448, 442, 419
450, 445, 421
485, 479, 459
467, 461, 444
462, 457, 438
448, 442, 420
473, 468, 449
482, 478, 460
496, 492, 472
469, 463, 450
421, 416, 403
425, 426, 413
444, 441, 433
444, 443, 438
412, 409, 404
387, 385, 380
365, 364, 354
396, 398, 381
424, 426, 404
443, 445, 422
464, 460, 438
483, 481, 462
494, 488, 472
493, 482, 468
493, 481, 467
462, 446, 431
413, 395, 379
353, 333, 318
349, 331, 316
360, 345, 331
367, 357, 340
368, 364, 347
381, 375, 360
395, 390, 376
424, 417, 403
440, 431, 417
429, 419, 405
416, 409, 396
405, 400, 385
388, 383, 364
381, 378, 359
402, 402, 381
387, 380, 359
406, 395, 374
411, 399, 381
380, 368, 354
394, 386, 373
409, 400, 386
411, 401, 388
419, 404, 390
398, 380, 366
380, 363, 353
381, 363, 351
387, 373, 360
398, 385, 370
405, 391, 376
379, 366, 351
368, 354, 344
359, 345, 338
361, 348, 342
363, 348, 342
365, 350, 340
374, 356, 345
374, 359, 346
376, 361, 351
353, 338, 332
333, 320, 317
316, 305, 303
283, 274, 276
284, 273, 274
286, 276, 274
314, 307, 304
345, 335, 333
371, 358, 355
393, 383, 379
424, 415, 408
429, 416, 406
416, 401, 390
403, 386, 374
398, 385, 373
367, 354, 343
349, 334, 320
343, 327, 315
336, 320, 308
319, 302, 292
294, 280, 271
302, 287, 276
335, 319, 304
357, 340, 326
395, 378, 359
410, 392, 371
398, 384, 366
399, 384, 362
415, 400, 374
408, 393, 371
377, 366, 347
369, 363, 346
363, 359, 344
354, 351, 336
351, 347, 333
317, 312, 299
289, 285, 271
308, 304, 288
350, 341, 324
375, 368, 351
363, 356, 341
345, 338, 323
363, 353, 336
340, 325, 309
317, 303, 287
320, 306, 292
326, 312, 297
315, 303, 288
319, 305, 296
306, 296, 289
313, 305, 297
325, 319, 308
360, 350, 335
368, 355, 340
366, 351, 335
333, 317, 301
329, 310, 294
318, 300, 283
331, 313, 298
316, 298, 285
316, 295, 286
345, 321, 314
351, 326, 320
354, 328, 322
354, 326, 319
376, 347, 337
353, 328, 313
356, 333, 315
364, 339, 317
354, 326, 307
331, 305, 292
323, 298, 286
311, 286, 275
317, 292, 281
328, 301, 291
336, 308, 299
342, 315, 306
353, 329, 320
374, 349, 338
375, 353, 340
373, 349, 335
370, 345, 332
367, 342, 330
353, 330, 318
332, 308, 298
299, 273, 265
290, 262, 255
283, 255, 247
284, 257, 246
283, 258, 243
279, 254, 241
277, 251, 237
280, 255, 241
282, 256, 244
292, 269, 254
298, 273, 258
315, 286, 273
329, 302, 288
344, 313, 299
350, 318, 304
364, 330, 317
365, 331, 321
350, 316, 307
341, 308, 296
343, 306, 295
335, 297, 285
352, 316, 301
352, 320, 304
364, 325, 311
377, 337, 323
354, 315, 302
330, 292, 279
332, 290, 277
343, 298, 286
336, 292, 275
326, 280, 258
323, 277, 248
300, 254, 226
